filename,class
img-0137_png_jpg.rf.0ea8b8dcfc295e58f709f8eadc86399c_4764.jpg,neutrophil
img-0073_png_jpg.rf.1e42284b7c00c8e1e02b03c9f129a127_5341.jpg,neutrophil
img-0197_png_jpg.rf.3104549baeb172a227efa2ac876b7f12_6077.jpg,neutrophil
img-0059_png_jpg.rf.90762669b9486e21e6ce570efbcd9a34_1018.jpg,neutrophil
img-0081_png_jpg.rf.2151947735c50695395cfc7847f6e750_5518.jpg,neutrophil
img-0075_png_jpg.rf.e387c2401364cd0a814c2b47d30fb2dc_3859.jpg,neutrophil
img-0081_png_jpg.rf.2151947735c50695395cfc7847f6e750_5570.jpg,neutrophil
img-0027_png_jpg.rf.4bc61c7ffffeb19d35afd68f730f7380_6725.jpg,neutrophil
img-0115_png_jpg.rf.f782a89a340dfaf256b45baefab810ea_4481.jpg,neutrophil
img-0071_png_jpg.rf.ae794d31ea217076f6cd3b5330e4b394_1698.jpg,neutrophil
img-0059_png_jpg.rf.90762669b9486e21e6ce570efbcd9a34_1006.jpg,neutrophil
img-0075_png_jpg.rf.e387c2401364cd0a814c2b47d30fb2dc_3906.jpg,neutrophil
img-0078_png_jpg.rf.bf82344a4113a577b72f6e53080872d5_2576.jpg,neutrophil
img-0112_png_jpg.rf.8e9686a9c6ca371765ba818dab7ab01c_1101.jpg,neutrophil
img-0061_png_jpg.rf.e81b2139118f270a1bb33b9215340aa6_4057.jpg,neutrophil
img-0040_png_jpg.rf.871dec410a7ca6d2e20e68f0aa0425f2_751.jpg,neutrophil
img-0013_png_jpg.rf.12ed4fe6906748a09614e3254a9fdda1_4996.jpg,neutrophil
img-0064_png_jpg.rf.ecc79b9b674a09ff4cab8cab9c75b51b_4270.jpg,neutrophil
img-0098_png_jpg.rf.fdb26d632d1095dc63bc35f5658135a4_50.jpg,neutrophil
img-0146_png_jpg.rf.c22168c7c4b5e356bd183bdc7441c8a4_2757.jpg,neutrophil
img-0214_png_jpg.rf.918aa2f20f7adcc528e02aababae33ad_1225.jpg,neutrophil
img-0055_png_jpg.rf.1172efe452eee10f513082ea1810b84b_4960.jpg,neutrophil
img-0081_png_jpg.rf.2151947735c50695395cfc7847f6e750_5574.jpg,neutrophil
img-0075_png_jpg.rf.ec2deab51f7ae1b287d77daef702e5c7_4240.jpg,neutrophil
img-0057_png_jpg.rf.b95521f93e1e2abdc3d837755761a813_2126.jpg,neutrophil
img-0080_png_jpg.rf.c91d8f084b4ab0bcf53a7ba5a240b57f_2981.jpg,neutrophil
img-0091_png_jpg.rf.410dcc5ee96d08396b71e186cc689ef1_6696.jpg,neutrophil
img-0068_png_jpg.rf.426b03839a1d5dfe9904824a782c2286_6568.jpg,neutrophil
img-0055_png_jpg.rf.1172efe452eee10f513082ea1810b84b_4931.jpg,neutrophil
img-0057_png_jpg.rf.b95521f93e1e2abdc3d837755761a813_2172.jpg,neutrophil
img-0131_png_jpg.rf.b49bf68dc75351af65a033c67a936408_2027.jpg,neutrophil
img-0008_png_jpg.rf.303f25554887e906a7f3bb6039694f82_5931.jpg,neutrophil
img-0059_png_jpg.rf.90762669b9486e21e6ce570efbcd9a34_1058.jpg,neutrophil
img-0051_png_jpg.rf.db4a2351bcf000774098c9a190288197_4170.jpg,neutrophil
img-0079_png_jpg.rf.1c7da759b50b3f2e309759f5ea970957_5231.jpg,neutrophil
img-0073_png_jpg.rf.1e42284b7c00c8e1e02b03c9f129a127_5342.jpg,neutrophil
