filename,width,height,class,xmin,ymin,xmax,ymax
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,420,48,482,133
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,217,46,289,142
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,46,53,134,164
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,387,98,426,177
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,284,102,345,179
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,507,112,568,188
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,93,0,163,36
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,133,139,223,213
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,467,153,532,235
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,329,168,384,241
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,235,170,296,246
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,396,180,463,261
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,0,181,41,266
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,172,200,234,279
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,82,211,135,286
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,173,0,241,51
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,52,199,117,305
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,519,237,575,310
img-0033_png_jpg.rf.fd1bcbb27b28c550a5ff62aa91413fe3.jpg,640,640,epithelial,252,240,313,316
